id,total,created_at,user_id
1,401.42,2024-08-15T00:00:00,549
2,359.14,2023-01-01T00:00:00,979
3,6369.34,2023-09-02T00:00:00,833
4,15612.07,2023-10-16T00:00:00,92
5,6920.24,2024-07-09T00:00:00,403
6,17748.7,2024-02-11T00:00:00,267
7,3426.9,2023-08-25T00:00:00,845
8,235.46,2023-08-25T00:00:00,624
9,6704.48,2024-11-06T00:00:00,357
10,5682.6,2024-11-30T00:00:00,178
11,2561.68,2023-09-14T00:00:00,158
12,12719.16,2024-07-09T00:00:00,455
13,11498.52,2023-08-30T00:00:00,419
14,19230.22,2024-06-17T00:00:00,563
15,997.04,2024-05-06T00:00:00,931
16,2519.58,2024-02-12T00:00:00,670
17,8722.26,2023-09-03T00:00:00,963
18,8118.76,2023-05-14T00:00:00,964
19,7252.88,2024-08-24T00:00:00,582
20,6513.2,2024-01-29T00:00:00,778
21,8582.42,2023-01-24T00:00:00,482
22,3830.68,2023-11-28T00:00:00,3
23,7116.49,2023-04-05T00:00:00,759
24,3116.16,2023-06-12T00:00:00,490
25,15034.46,2024-07-14T00:00:00,180
26,10713.77,2023-06-11T00:00:00,778
27,4038.96,2023-08-24T00:00:00,120
28,4882.34,2024-05-19T00:00:00,458
29,4848.24,2024-02-01T00:00:00,712
30,11218.92,2023-03-16T00:00:00,771
31,71.94,2024-05-18T00:00:00,90
32,7863.53,2024-10-20T00:00:00,494
33,5362.14,2023-12-13T00:00:00,30
34,5232.56,2023-12-24T00:00:00,213
35,9586.64,2024-01-27T00:00:00,224
36,2447.7,2023-12-09T00:00:00,660
37,9743.85,2023-10-13T00:00:00,200
38,1889.24,2024-02-03T00:00:00,321
39,2850.65,2023-05-22T00:00:00,78
40,1889.24,2023-10-29T00:00:00,307
41,1958.91,2024-10-09T00:00:00,537
42,1517.09,2024-05-05T00:00:00,34
43,19961.16,2023-08-13T00:00:00,86
44,1440.92,2024-11-04T00:00:00,656
45,3306.84,2023-06-09T00:00:00,209
46,6902.71,2024-04-01T00:00:00,752
47,592.58,2023-11-07T00:00:00,61
48,12795.11,2023-07-21T00:00:00,875
49,4379.25,2023-12-12T00:00:00,459
50,12468.35,2024-08-13T00:00:00,266
51,597.6,2023-01-17T00:00:00,459
52,7034.49,2024-02-15T00:00:00,189
53,12670.1,2024-02-12T00:00:00,267
54,3561.8,2023-05-01T00:00:00,919
55,6252.05,2024-10-17T00:00:00,257
56,16048.68,2023-07-28T00:00:00,694
57,10624.54,2024-01-12T00:00:00,362
58,8518.15,2024-02-09T00:00:00,301
59,4313.03,2023-06-09T00:00:00,578
60,6798.26,2024-06-29T00:00:00,208
61,3979.64,2023-01-21T00:00:00,268
62,15961.12,2024-10-07T00:00:00,881
63,1646.26,2023-03-03T00:00:00,645
64,9764.65,2024-05-05T00:00:00,83
65,9858.88,2023-04-05T00:00:00,408
66,9380.84,2024-10-16T00:00:00,754
67,17089.51,2023-05-04T00:00:00,742
68,11992.03,2023-08-01T00:00:00,691
69,9544.21,2023-09-15T00:00:00,845
70,4200.66,2024-03-03T00:00:00,181
71,13637.56,2023-11-08T00:00:00,393
72,7812.98,2023-11-14T00:00:00,897
73,88.99,2024-07-08T00:00:00,312
74,3201.69,2024-06-14T00:00:00,984
75,8055.08,2023-04-14T00:00:00,418
76,5770.56,2024-08-19T00:00:00,818
77,5438.25,2023-11-30T00:00:00,827
78,848.87,2024-08-08T00:00:00,632
79,14654.39,2023-11-23T00:00:00,598
80,8867.35,2024-02-01T00:00:00,950
81,3082.02,2024-11-21T00:00:00,514
82,9137.49,2024-06-20T00:00:00,437
83,6448.4,2024-06-10T00:00:00,926
84,3636.29,2024-10-08T00:00:00,548
85,13001.83,2024-08-02T00:00:00,261
86,8208.9,2023-06-24T00:00:00,691
87,1601.63,2024-02-01T00:00:00,902
88,11531.01,2024-01-15T00:00:00,306
89,8031.95,2023-09-20T00:00:00,895
90,1099.34,2023-08-03T00:00:00,305
91,13833.02,2023-03-25T00:00:00,83
92,7715.64,2024-07-19T00:00:00,964
93,573.54,2023-10-05T00:00:00,54
94,8832.24,2024-07-27T00:00:00,841
95,5230.28,2023-05-26T00:00:00,605
96,2070.72,2024-01-04T00:00:00,731
97,5065.3,2023-04-25T00:00:00,685
98,15260.68,2024-10-01T00:00:00,617
99,12580.41,2023-10-03T00:00:00,335
100,17749.65,2024-05-03T00:00:00,34
101,5083.5,2024-11-21T00:00:00,248
102,5014.0,2023-07-06T00:00:00,808
103,7303.47,2023-12-24T00:00:00,203
104,19506.79,2024-05-14T00:00:00,552
105,7772.1,2024-02-04T00:00:00,166
106,17117.06,2024-04-01T00:00:00,856
107,2086.22,2023-02-17T00:00:00,319
108,2327.58,2024-07-28T00:00:00,137
109,7981.44,2023-09-17T00:00:00,698
110,10616.0,2024-08-18T00:00:00,316
111,5469.69,2024-07-17T00:00:00,423
112,1999.92,2023-04-01T00:00:00,320
113,8536.28,2024-08-04T00:00:00,740
114,18106.0,2024-07-28T00:00:00,123
115,12782.45,2024-03-10T00:00:00,850
116,3063.08,2023-04-24T00:00:00,712
117,8879.77,2024-05-30T00:00:00,28
118,11815.84,2024-05-30T00:00:00,937
119,5661.24,2024-09-23T00:00:00,911
120,12412.32,2024-01-07T00:00:00,133
121,1950.06,2023-05-10T00:00:00,423
122,1913.52,2023-06-08T00:00:00,448
123,10383.73,2024-01-12T00:00:00,346
124,5944.81,2023-06-14T00:00:00,330
125,6000.48,2024-06-14T00:00:00,395
126,7615.76,2023-10-03T00:00:00,703
127,21361.7,2023-05-21T00:00:00,791
128,10179.19,2023-04-10T00:00:00,698
129,5065.3,2024-05-08T00:00:00,628
130,7073.38,2023-09-14T00:00:00,51
131,5682.6,2024-05-26T00:00:00,301
132,7653.93,2024-06-04T00:00:00,353
133,14427.05,2024-02-06T00:00:00,256
134,9308.46,2024-04-21T00:00:00,709
135,10549.99,2023-12-17T00:00:00,458
136,19998.08,2024-09-28T00:00:00,981
137,17911.65,2023-10-15T00:00:00,482
138,8453.69,2023-04-11T00:00:00,917
139,12149.97,2023-06-08T00:00:00,398
140,10820.23,2024-04-09T00:00:00,374
141,9289.42,2023-02-25T00:00:00,867
142,8251.16,2023-01-13T00:00:00,2
143,3233.0,2023-01-09T00:00:00,337
144,10726.43,2024-04-03T00:00:00,870
145,10426.15,2024-03-10T00:00:00,628
146,12909.53,2024-02-08T00:00:00,923
147,639.49,2023-09-22T00:00:00,187
148,422.1,2023-09-28T00:00:00,881
149,7975.24,2023-10-19T00:00:00,696
150,12451.32,2024-05-14T00:00:00,529
151,23621.25,2024-09-02T00:00:00,237
152,3302.28,2023-03-19T00:00:00,916
153,6544.04,2024-06-12T00:00:00,398
154,793.11,2024-07-04T00:00:00,811
155,2868.12,2023-03-14T00:00:00,552
156,14394.02,2024-04-28T00:00:00,331
157,12391.0,2024-07-13T00:00:00,20
158,8289.19,2024-05-12T00:00:00,229
159,6996.81,2023-08-18T00:00:00,775
160,1433.68,2024-04-29T00:00:00,283
161,9703.05,2024-06-24T00:00:00,6
162,1158.24,2024-01-07T00:00:00,702
163,8605.75,2023-04-02T00:00:00,961
164,5144.77,2023-06-09T00:00:00,270
165,5713.68,2024-06-12T00:00:00,667
166,562.13,2024-11-16T00:00:00,951
167,1805.33,2023-10-20T00:00:00,545
168,5131.09,2024-08-02T00:00:00,173
169,10253.73,2024-02-21T00:00:00,642
170,14958.71,2024-06-04T00:00:00,512
171,588.65,2023-04-26T00:00:00,436
